TransactionID,VendorName,Category,CostCentre,Amount,ContractRate,Date,Currency
AP-10000,Microsoft,IT Services,CC-101 Finance,38472.36,33774.21,2024-11-04,INR
AP-10001,Workday,Software Licenses,CC-106 Legal,12306.03,15044.48,2024-04-22,USD
AP-10002,Adobe Systems,Hardware,CC-101 Finance,25320.56,38141.2,2024-08-04,USD
AP-10003,Tata Consultancy,Cloud,CC-102 Operations,12765.3,17376.32,2024-02-17,USD
AP-10004,Wipro Limited,Facilities,CC-105 Marketing,21887.04,35451.48,2024-08-23,EUR
AP-10005,WIPRO,Consulting,CC-105 Marketing,5215.58,6125.48,2024-07-04,EUR
AP-10006,KPMG,Consulting,CC-101 Finance,5569.45,6125.48,2024-02-10,INR
AP-10007,WIPRO,Hardware,CC-104 HR,28450.77,38141.2,2024-07-08,USD
AP-10008,KPMG,Hardware,CC-106 Legal,32771.46,38141.2,2024-11-07,EUR
AP-10009,AWS,Cloud,CC-104 HR,17303.5,17376.32,2024-11-23,EUR
AP-10010,Workday,Software Licenses,CC-106 Legal,13650.24,15044.48,2024-01-29,INR
AP-10011,Deloitte & Co,Marketing,CC-103 IT,61873.92,45148.08,2024-10-17,EUR
AP-10012,HCL Technologies,Software Licenses,CC-106 Legal,14350.53,15044.48,2024-11-25,USD
AP-10013,Oracle,Cloud,CC-102 Operations,14171.97,17376.32,2024-10-26,USD
AP-10014,Adobe Systems,Marketing,CC-103 IT,45103.61,45148.08,2024-09-17,USD
AP-10015,IBM,Consulting,CC-102 Operations,5616.03,6125.48,2024-08-04,EUR
AP-10016,IBM Ltd,Marketing,CC-105 Marketing,36644.25,45148.08,2024-10-10,INR
AP-10017,Wipro Limited,Facilities,CC-101 Finance,23513.66,35451.48,2024-01-02,EUR
AP-10018,Tata Consultancy,Cloud,CC-105 Marketing,16476.36,17376.32,2024-06-01,EUR
AP-10019,ServiceNow,Software Licenses,CC-102 Operations,9998.86,15044.48,2024-09-28,INR
AP-10020,Cisco Systems,Facilities,CC-104 HR,48777.46,35451.48,2024-06-06,INR
AP-10021,Deloitte,Consulting,CC-101 Finance,5674.7,6125.48,2024-09-29,INR
AP-10022,ORACLE CORP,Cloud,CC-103 IT,14641.94,17376.32,2024-04-18,EUR
AP-10023,KPMG,Hardware,CC-104 HR,32799.57,38141.2,2024-08-12,EUR
AP-10024,Google Cloud,Consulting,CC-102 Operations,4503.66,6125.48,2024-10-28,EUR
AP-10025,McKinsey & Co,Software Licenses,CC-101 Finance,19175.32,15044.48,2024-04-27,INR
AP-10026,Deloitte & Co,Consulting,CC-105 Marketing,5314.41,6125.48,2024-04-19,EUR
AP-10027,ORACLE CORP,Software Licenses,CC-104 HR,10172.54,15044.48,2024-02-19,EUR
AP-10028,Microsoft,Facilities,CC-104 HR,33520.6,35451.48,2024-01-28,EUR
AP-10029,Wipro,Marketing,CC-106 Legal,42649.99,45148.08,2024-05-07,INR
AP-10030,KPMG,Legal,CC-102 Operations,6340.34,8912.25,2024-05-07,INR
AP-10031,Google Cloud,Consulting,CC-101 Finance,4999.83,6125.48,2024-01-08,INR
AP-10032,McKinsey & Co,Cloud,CC-104 HR,11911.45,17376.32,2024-07-24,INR
AP-10033,Amazon Web Svc,IT Services,CC-104 HR,30857.07,33774.21,2024-08-20,USD
AP-10034,Microsoft,Legal,CC-102 Operations,6123.43,8912.25,2024-01-30,EUR
AP-10035,Workday,IT Services,CC-106 Legal,20941.93,33774.21,2024-09-01,EUR
AP-10036,ServiceNow,Cloud,CC-101 Finance,10982.61,17376.32,2024-04-05,INR
AP-10037,Cisco Systems,Consulting,CC-106 Legal,4664.62,6125.48,2024-10-18,INR
AP-10038,Adobe Systems,IT Services,CC-105 Marketing,43349.43,33774.21,2024-10-16,EUR
AP-10039,HCL Technologies,Hardware,CC-102 Operations,27678.06,38141.2,2024-05-15,USD
AP-10040,Oracle,Legal,CC-103 IT,8683.15,8912.25,2024-01-05,USD
AP-10041,Cisco Systems,Consulting,CC-101 Finance,4914.8,6125.48,2024-03-08,USD
AP-10042,I.B.M.,Facilities,CC-103 IT,33093.89,35451.48,2024-12-26,USD
AP-10043,Cisco Systems,IT Services,CC-106 Legal,24309.04,33774.21,2024-12-05,INR
AP-10044,Oracle,Consulting,CC-101 Finance,4056.17,6125.48,2024-05-24,EUR
AP-10045,KPMG,Facilities,CC-102 Operations,33365.7,35451.48,2024-09-15,USD
AP-10046,Tata Consultancy,IT Services,CC-101 Finance,31468.76,33774.21,2024-01-23,INR
AP-10047,HCL Technologies,Cloud,CC-106 Legal,11548.87,17376.32,2024-08-14,EUR
AP-10048,Microsoft,IT Services,CC-101 Finance,45941.58,33774.21,2024-03-17,EUR
AP-10049,Deloitte & Co,Cloud,CC-104 HR,12568.35,17376.32,2024-01-21,USD
AP-10050,KPMG,Software Licenses,CC-106 Legal,19937.54,15044.48,2024-07-27,EUR
AP-10051,Oracle Corporation,Cloud,CC-102 Operations,10598.07,17376.32,2024-06-19,USD
AP-10052,McKinsey & Co,Hardware,CC-102 Operations,24533.88,38141.2,2024-01-20,USD
AP-10053,McKinsey & Co,Software Licenses,CC-104 HR,13964.51,15044.48,2024-04-26,INR
AP-10054,Accenture Ltd,Marketing,CC-103 IT,28342.53,45148.08,2024-05-22,USD
AP-10055,ServiceNow,Marketing,CC-106 Legal,36772.49,45148.08,2024-01-15,INR
AP-10056,Tata Consultancy,Cloud,CC-105 Marketing,12270.92,17376.32,2024-02-25,EUR
AP-10057,Microsoft,Facilities,CC-106 Legal,27459.21,35451.48,2024-09-18,INR
AP-10058,SAP SE,Software Licenses,CC-103 IT,18177.64,15044.48,2024-09-23,EUR
AP-10059,KPMG,Facilities,CC-104 HR,45584.96,35451.48,2024-06-18,EUR
AP-10060,HCL Technologies,Consulting,CC-106 Legal,4917.84,6125.48,2024-12-07,USD
AP-10061,HCL Technologies,Marketing,CC-106 Legal,29387.57,45148.08,2024-08-03,EUR
AP-10062,SAP SE,Cloud,CC-105 Marketing,13248.23,17376.32,2024-01-01,USD
AP-10063,Infosys,Software Licenses,CC-104 HR,12677.45,15044.48,2024-06-13,USD
AP-10064,Google Cloud,Legal,CC-106 Legal,7034.21,8912.25,2024-03-27,EUR
AP-10065,IBM India,Facilities,CC-101 Finance,31922.47,35451.48,2024-12-10,USD
AP-10066,McKinsey & Co,Software Licenses,CC-102 Operations,17199.55,15044.48,2024-08-31,EUR
AP-10067,IBM Ltd,Marketing,CC-106 Legal,40061.62,45148.08,2024-07-15,USD
AP-10068,SAP SE,Software Licenses,CC-102 Operations,9060.06,15044.48,2024-02-24,USD
AP-10069,McKinsey & Co,Cloud,CC-106 Legal,10774.84,17376.32,2024-05-07,INR
AP-10070,Google Cloud,Cloud,CC-104 HR,17292.17,17376.32,2024-10-31,USD
AP-10071,Google Cloud,Marketing,CC-105 Marketing,29963.12,45148.08,2024-08-31,USD
AP-10072,Tata Consultancy,Software Licenses,CC-106 Legal,13706.57,15044.48,2024-09-05,EUR
AP-10073,McKinsey & Co,Hardware,CC-104 HR,44135.0,38141.2,2024-05-19,USD
AP-10074,HCL Technologies,Consulting,CC-102 Operations,4613.8,6125.48,2024-03-19,EUR
AP-10075,KPMG,Consulting,CC-104 HR,5004.79,6125.48,2024-07-31,INR
AP-10076,KPMG,Marketing,CC-104 HR,37636.87,45148.08,2024-12-22,INR
AP-10077,Adobe Systems,Marketing,CC-104 HR,53256.58,45148.08,2024-07-18,USD
AP-10078,Workday,Software Licenses,CC-104 HR,11649.46,15044.48,2024-01-15,USD
AP-10079,HCL Technologies,Marketing,CC-106 Legal,35529.56,45148.08,2024-03-06,EUR
AP-10080,Workday,IT Services,CC-104 HR,29221.44,33774.21,2024-02-12,EUR
AP-10081,Microsoft,Cloud,CC-104 HR,12234.02,17376.32,2024-06-16,INR
AP-10082,Google Cloud,Facilities,CC-103 IT,26647.12,35451.48,2024-08-03,USD
AP-10083,IBM Ltd,IT Services,CC-106 Legal,33772.96,33774.21,2024-06-28,INR
AP-10084,IBM,IT Services,CC-102 Operations,20539.85,33774.21,2024-03-19,INR
AP-10085,ORACLE CORP,Consulting,CC-105 Marketing,4814.71,6125.48,2024-05-11,USD
AP-10086,Amazon Web Services,Cloud,CC-103 IT,18570.61,17376.32,2024-06-08,EUR
AP-10087,SAP SE,Marketing,CC-106 Legal,37781.68,45148.08,2024-11-17,INR
AP-10088,Wipro Limited,Consulting,CC-105 Marketing,4526.0,6125.48,2024-08-07,EUR
AP-10089,Cognizant,Consulting,CC-105 Marketing,3706.29,6125.48,2024-08-03,USD
AP-10090,WIPRO,Facilities,CC-106 Legal,27790.26,35451.48,2024-03-19,USD
AP-10091,Amazon AWS,Legal,CC-104 HR,7953.39,8912.25,2024-05-17,USD
AP-10092,McKinsey & Co,Consulting,CC-103 IT,4272.8,6125.48,2024-08-25,EUR
AP-10093,Cisco Systems,Marketing,CC-103 IT,60919.39,45148.08,2024-04-03,USD
AP-10094,KPMG,Facilities,CC-103 IT,33754.35,35451.48,2024-12-25,USD
AP-10095,Workday,IT Services,CC-105 Marketing,21421.13,33774.21,2024-07-27,USD
AP-10096,Workday,Software Licenses,CC-106 Legal,13310.41,15044.48,2024-08-17,INR
AP-10097,IBM India,Software Licenses,CC-104 HR,10869.37,15044.48,2024-10-24,USD
AP-10098,Salesforce,Facilities,CC-104 HR,29075.72,35451.48,2024-06-29,EUR
AP-10099,Google Cloud,Hardware,CC-103 IT,24725.5,38141.2,2024-04-08,USD
AP-10100,Wipro Ltd,Software Licenses,CC-102 Operations,10690.61,15044.48,2024-10-28,EUR
AP-10101,Cisco Systems,Hardware,CC-101 Finance,27404.4,38141.2,2024-07-03,INR
AP-10102,Infosys,IT Services,CC-106 Legal,23970.39,33774.21,2024-01-28,EUR
AP-10103,Infosys,Cloud,CC-106 Legal,13837.66,17376.32,2024-01-07,EUR
AP-10104,Infosys,Legal,CC-104 HR,6004.59,8912.25,2024-01-27,USD
AP-10105,Salesforce,Consulting,CC-101 Finance,3856.8,6125.48,2024-11-18,EUR
AP-10106,Deloitte,Cloud,CC-105 Marketing,11017.84,17376.32,2024-05-07,INR
AP-10107,Workday,Marketing,CC-105 Marketing,38257.01,45148.08,2024-09-24,USD
AP-10108,Google Cloud,Legal,CC-103 IT,8876.71,8912.25,2024-06-05,EUR
AP-10109,Cisco Systems,IT Services,CC-105 Marketing,21605.14,33774.21,2024-04-16,EUR
AP-10110,KPMG,Hardware,CC-106 Legal,43540.25,38141.2,2024-10-09,INR
AP-10111,Amazon Web Services,Marketing,CC-104 HR,35575.11,45148.08,2024-01-17,INR
AP-10112,Infosys,Hardware,CC-106 Legal,23970.67,38141.2,2024-04-29,USD
AP-10113,Adobe Systems,Software Licenses,CC-104 HR,17097.08,15044.48,2024-03-17,USD
AP-10114,Oracle Corp,IT Services,CC-102 Operations,28303.38,33774.21,2024-10-18,USD
AP-10115,Google Cloud,Consulting,CC-104 HR,5389.77,6125.48,2024-05-19,EUR
AP-10116,Workday,Legal,CC-104 HR,9567.77,8912.25,2024-08-09,EUR
AP-10117,HCL Technologies,Hardware,CC-101 Finance,52903.74,38141.2,2024-10-21,EUR
AP-10118,Accenture Limited,IT Services,CC-102 Operations,29066.21,33774.21,2024-05-22,INR
AP-10119,Adobe Systems,Marketing,CC-106 Legal,44589.24,45148.08,2024-08-28,USD
AP-10120,Microsoft,Facilities,CC-103 IT,33434.05,35451.48,2024-06-17,USD
AP-10121,Salesforce,Hardware,CC-106 Legal,35296.87,38141.2,2024-10-08,INR
AP-10122,Google Cloud,Consulting,CC-103 IT,3959.32,6125.48,2024-07-25,EUR
AP-10123,ACCENTURE,Marketing,CC-101 Finance,33622.31,45148.08,2024-09-12,EUR
AP-10124,Google Cloud,IT Services,CC-102 Operations,22034.47,33774.21,2024-05-27,USD
AP-10125,Salesforce,Consulting,CC-101 Finance,5167.14,6125.48,2024-05-02,EUR
AP-10126,Amazon AWS,IT Services,CC-105 Marketing,23300.16,33774.21,2024-02-28,USD
AP-10127,Wipro Ltd,Legal,CC-106 Legal,7862.07,8912.25,2024-07-31,USD
AP-10128,Salesforce,Software Licenses,CC-104 HR,11335.03,15044.48,2024-11-02,EUR
AP-10129,Oracle Corp,Hardware,CC-104 HR,34902.51,38141.2,2024-05-16,INR
AP-10130,Infosys,Hardware,CC-105 Marketing,32953.09,38141.2,2024-03-17,USD
AP-10131,Workday,Legal,CC-103 IT,8066.91,8912.25,2024-07-12,USD
AP-10132,HCL Technologies,Software Licenses,CC-106 Legal,11331.33,15044.48,2024-07-29,INR
AP-10133,HCL Technologies,Legal,CC-106 Legal,6706.4,8912.25,2024-12-05,EUR
AP-10134,ORACLE CORP,IT Services,CC-102 Operations,28237.68,33774.21,2024-02-21,USD
AP-10135,WIPRO,IT Services,CC-106 Legal,32030.56,33774.21,2024-03-20,INR
AP-10136,Salesforce,Hardware,CC-103 IT,28948.92,38141.2,2024-02-11,USD
AP-10137,Workday,Marketing,CC-103 IT,43115.31,45148.08,2024-09-06,EUR
AP-10138,Deloitte Consulting,Consulting,CC-102 Operations,5931.74,6125.48,2024-04-26,EUR
AP-10139,IBM Ltd,Consulting,CC-106 Legal,3921.55,6125.48,2024-03-26,EUR
AP-10140,Infosys,IT Services,CC-101 Finance,21022.68,33774.21,2024-07-02,USD
AP-10141,Microsoft,Cloud,CC-102 Operations,14359.29,17376.32,2024-04-02,INR
AP-10142,Amazon Web Services,Marketing,CC-105 Marketing,36076.34,45148.08,2024-10-25,INR
AP-10143,McKinsey & Co,Legal,CC-106 Legal,6257.56,8912.25,2024-01-05,USD
AP-10144,Infosys,Cloud,CC-101 Finance,12827.66,17376.32,2024-10-27,USD
AP-10145,Microsoft,Hardware,CC-104 HR,25924.07,38141.2,2024-07-15,USD
AP-10146,Wipro Ltd,Marketing,CC-105 Marketing,32432.08,45148.08,2024-12-24,USD
AP-10147,ACCENTURE,Hardware,CC-101 Finance,33347.61,38141.2,2024-01-26,EUR
AP-10148,Salesforce,Hardware,CC-102 Operations,28259.9,38141.2,2024-11-21,INR
AP-10149,Cisco Systems,Hardware,CC-106 Legal,34593.62,38141.2,2024-12-14,INR
AP-10150,Wipro,Hardware,CC-104 HR,45161.2,38141.2,2024-03-08,INR
AP-10151,Infosys,Facilities,CC-106 Legal,24118.28,35451.48,2024-10-03,USD
AP-10152,ServiceNow,Hardware,CC-102 Operations,35466.58,38141.2,2024-09-03,USD
AP-10153,HCL Technologies,Consulting,CC-104 HR,4020.17,6125.48,2024-04-25,EUR
AP-10154,SAP SE,Facilities,CC-101 Finance,21468.26,35451.48,2024-10-01,INR
AP-10155,Google Cloud,Facilities,CC-106 Legal,24988.49,35451.48,2024-07-14,EUR
AP-10156,Cognizant,Consulting,CC-106 Legal,3736.6,6125.48,2024-10-14,USD
AP-10157,Cisco Systems,Software Licenses,CC-106 Legal,20161.27,15044.48,2024-12-24,USD
AP-10158,Microsoft,Consulting,CC-102 Operations,6570.51,6125.48,2024-09-09,INR
AP-10159,Wipro Ltd,Cloud,CC-104 HR,15086.03,17376.32,2024-12-22,EUR
AP-10160,Microsoft,Cloud,CC-104 HR,16220.4,17376.32,2024-11-11,USD
AP-10161,Tata Consultancy,IT Services,CC-106 Legal,26254.49,33774.21,2024-04-30,USD
AP-10162,Wipro Limited,Facilities,CC-101 Finance,23962.49,35451.48,2024-03-03,USD
AP-10163,I.B.M.,IT Services,CC-101 Finance,23555.06,33774.21,2024-03-05,EUR
AP-10164,KPMG,Consulting,CC-105 Marketing,4204.41,6125.48,2024-04-29,USD
AP-10165,Oracle Corp,Hardware,CC-102 Operations,31126.51,38141.2,2024-03-30,INR
AP-10166,Accenture Ltd,IT Services,CC-103 IT,23478.91,33774.21,2024-06-14,INR
AP-10167,Amazon AWS,IT Services,CC-102 Operations,27371.78,33774.21,2024-02-02,USD
AP-10168,Google Cloud,Facilities,CC-105 Marketing,27680.59,35451.48,2024-04-23,EUR
AP-10169,Deloitte Consulting,Hardware,CC-104 HR,23359.97,38141.2,2024-09-02,USD
AP-10170,Microsoft,Consulting,CC-104 HR,4762.1,6125.48,2024-02-11,USD
AP-10171,Cisco Systems,Cloud,CC-101 Finance,14765.13,17376.32,2024-10-26,EUR
AP-10172,HCL Technologies,Marketing,CC-105 Marketing,35282.6,45148.08,2024-11-05,USD
AP-10173,Wipro,Software Licenses,CC-104 HR,10401.71,15044.48,2024-06-22,USD
AP-10174,SAP SE,Marketing,CC-106 Legal,54407.94,45148.08,2024-12-06,USD
AP-10175,Cognizant,Cloud,CC-106 Legal,10892.4,17376.32,2024-02-13,INR
AP-10176,Microsoft,Consulting,CC-106 Legal,5664.28,6125.48,2024-10-11,INR
AP-10177,Adobe Systems,Facilities,CC-106 Legal,26285.12,35451.48,2024-12-06,USD
AP-10178,Deloitte & Co,Hardware,CC-103 IT,47009.8,38141.2,2024-03-20,EUR
AP-10179,Salesforce,Software Licenses,CC-101 Finance,12374.18,15044.48,2024-02-28,USD
AP-10180,Adobe Systems,Software Licenses,CC-104 HR,14891.31,15044.48,2024-11-14,EUR
AP-10181,Workday,IT Services,CC-105 Marketing,31470.28,33774.21,2024-05-16,INR
AP-10182,Amazon AWS,Hardware,CC-103 IT,25652.33,38141.2,2024-03-14,EUR
AP-10183,SAP SE,Consulting,CC-102 Operations,6056.41,6125.48,2024-02-16,EUR
AP-10184,ServiceNow,Software Licenses,CC-104 HR,11078.13,15044.48,2024-07-08,USD
AP-10185,HCL Technologies,Consulting,CC-101 Finance,5523.8,6125.48,2024-01-26,EUR
AP-10186,IBM India,Legal,CC-106 Legal,7511.52,8912.25,2024-07-31,USD
AP-10187,KPMG,Consulting,CC-103 IT,4369.3,6125.48,2024-12-13,EUR
AP-10188,Salesforce,Hardware,CC-101 Finance,37903.9,38141.2,2024-01-29,INR
AP-10189,KPMG,Hardware,CC-102 Operations,34543.13,38141.2,2024-05-28,USD
AP-10190,Wipro,Legal,CC-106 Legal,5807.88,8912.25,2024-09-29,EUR
AP-10191,McKinsey & Co,Facilities,CC-101 Finance,31793.47,35451.48,2024-08-11,INR
AP-10192,Google Cloud,Consulting,CC-103 IT,5080.23,6125.48,2024-12-29,EUR
AP-10193,Microsoft,Hardware,CC-101 Finance,37625.53,38141.2,2024-03-28,EUR
AP-10194,Google Cloud,Facilities,CC-101 Finance,22772.09,35451.48,2024-08-11,EUR
AP-10195,SAP SE,Consulting,CC-104 HR,5502.65,6125.48,2024-04-23,USD
AP-10196,Amazon Web Services,Consulting,CC-105 Marketing,5894.97,6125.48,2024-06-27,USD
AP-10197,Oracle Corporation,Consulting,CC-102 Operations,4100.39,6125.48,2024-03-19,EUR
AP-10198,I.B.M.,Legal,CC-104 HR,8056.24,8912.25,2024-08-17,EUR
AP-10199,Adobe Systems,Facilities,CC-106 Legal,27506.99,35451.48,2024-08-28,USD
AP-10200,Infosys,Hardware,CC-105 Marketing,47008.82,38141.2,2024-06-07,USD
AP-10201,Google Cloud,IT Services,CC-101 Finance,24142.85,33774.21,2024-11-26,INR
AP-10202,Cisco Systems,Marketing,CC-104 HR,44321.54,45148.08,2024-01-22,USD
AP-10203,Adobe Systems,Software Licenses,CC-103 IT,12043.81,15044.48,2024-02-01,USD
AP-10204,Wipro Limited,Consulting,CC-105 Marketing,3771.19,6125.48,2024-12-28,USD
AP-10205,Google Cloud,Cloud,CC-103 IT,12392.05,17376.32,2024-07-28,USD
AP-10206,Cisco Systems,IT Services,CC-106 Legal,21154.97,33774.21,2024-02-18,EUR
AP-10207,SAP SE,Hardware,CC-103 IT,32901.58,38141.2,2024-11-04,INR
AP-10208,HCL Technologies,Consulting,CC-105 Marketing,5921.49,6125.48,2024-06-07,EUR
AP-10209,SAP SE,Cloud,CC-105 Marketing,11014.63,17376.32,2024-10-13,USD
AP-10210,HCL Technologies,Cloud,CC-106 Legal,17008.7,17376.32,2024-12-16,EUR
AP-10211,IBM Ltd,Facilities,CC-101 Finance,23827.12,35451.48,2024-04-19,USD
AP-10212,Salesforce,Software Licenses,CC-102 Operations,9959.12,15044.48,2024-05-31,INR
AP-10213,ServiceNow,IT Services,CC-106 Legal,30617.1,33774.21,2024-03-08,EUR
AP-10214,SAP SE,Cloud,CC-102 Operations,15241.44,17376.32,2024-11-15,INR
AP-10215,Google Cloud,IT Services,CC-104 HR,29985.9,33774.21,2024-08-15,EUR
AP-10216,Infosys,Legal,CC-102 Operations,6450.57,8912.25,2024-08-28,INR
AP-10217,Cognizant,Legal,CC-104 HR,8121.28,8912.25,2024-09-14,EUR
AP-10218,Microsoft,Cloud,CC-102 Operations,11387.73,17376.32,2024-05-08,INR
AP-10219,Salesforce,Facilities,CC-105 Marketing,31358.98,35451.48,2024-09-21,INR
AP-10220,Infosys,Consulting,CC-102 Operations,5893.46,6125.48,2024-03-16,USD
AP-10221,I.B.M.,Legal,CC-103 IT,6826.42,8912.25,2024-07-21,EUR
AP-10222,Cognizant,Software Licenses,CC-104 HR,11282.83,15044.48,2024-01-15,USD
AP-10223,Wipro Limited,Cloud,CC-102 Operations,23838.83,17376.32,2024-08-29,EUR
AP-10224,ORACLE CORP,Legal,CC-105 Marketing,9687.05,8912.25,2024-05-11,INR
AP-10225,ORACLE CORP,Consulting,CC-103 IT,3973.84,6125.48,2024-05-02,USD
AP-10226,Cisco Systems,Legal,CC-101 Finance,12189.73,8912.25,2024-11-01,EUR
AP-10227,Accenture Ltd,Cloud,CC-103 IT,14699.04,17376.32,2024-05-03,EUR
AP-10228,Microsoft,Cloud,CC-106 Legal,14064.29,17376.32,2024-07-03,INR
AP-10229,ServiceNow,IT Services,CC-104 HR,20852.66,33774.21,2024-07-17,USD
AP-10230,Tata Consultancy,IT Services,CC-103 IT,24922.7,33774.21,2024-12-02,EUR
AP-10231,Wipro Limited,Cloud,CC-101 Finance,12778.87,17376.32,2024-11-25,INR
AP-10232,Google Cloud,Legal,CC-106 Legal,5828.09,8912.25,2024-08-22,INR
AP-10233,Infosys,Software Licenses,CC-101 Finance,14357.19,15044.48,2024-06-10,USD
AP-10234,ServiceNow,Marketing,CC-105 Marketing,27750.19,45148.08,2024-11-27,INR
AP-10235,Infosys,Facilities,CC-101 Finance,25977.78,35451.48,2024-03-04,USD
AP-10236,Microsoft,Marketing,CC-106 Legal,44362.12,45148.08,2024-06-22,INR
AP-10237,Salesforce,Legal,CC-103 IT,7198.52,8912.25,2024-02-12,EUR
AP-10238,Microsoft,Consulting,CC-104 HR,5690.18,6125.48,2024-10-06,USD
AP-10239,HCL Technologies,Consulting,CC-101 Finance,4399.66,6125.48,2024-08-16,EUR
AP-10240,Microsoft,Cloud,CC-106 Legal,13533.58,17376.32,2024-06-29,EUR
AP-10241,Microsoft,Hardware,CC-106 Legal,37346.4,38141.2,2024-02-08,EUR
AP-10242,SAP SE,Facilities,CC-105 Marketing,30905.33,35451.48,2024-01-16,INR
AP-10243,Cisco Systems,Legal,CC-101 Finance,6188.65,8912.25,2024-11-26,USD
AP-10244,Cognizant,Marketing,CC-105 Marketing,50212.29,45148.08,2024-08-18,USD
AP-10245,Cognizant,Legal,CC-101 Finance,7234.82,8912.25,2024-07-22,USD
AP-10246,Tata Consultancy,Software Licenses,CC-101 Finance,16898.81,15044.48,2024-09-22,USD
AP-10247,Workday,Consulting,CC-103 IT,5400.32,6125.48,2024-04-19,EUR
AP-10248,Infosys,Legal,CC-102 Operations,8387.59,8912.25,2024-08-19,INR
